LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (14.3 14.3 14.3)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.003 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 46.19 | 46.22 | 46.24 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
     16000   4000           4119.5264     -26182.627      2345.3894     -23837.237     -39859.676      3118.481       2.0476086    
     16100   4025           3960.854      -26136.035      2255.0517     -23880.983     -45857.994      3118.2655      2.0477501    
     16200   4050           3940.0497     -26154.756      2243.2071     -23911.548     -41084.578      3117.9803      2.0479374    
     16300   4075           4440.3025     -26473.134      2528.0184     -23945.115     -27538.655      3117.6475      2.048156     
     16400   4100           3925.3985     -26222.627      2234.8657     -23987.762     -8276.7573      3117.2939      2.0483883    
     16500   4125           3829.0227     -26209.504      2179.9956     -24029.508     -12720.295      3116.9025      2.0486456    
     16600   4150           3974.8267     -26327.982      2263.0068     -24064.976     -39072.178      3116.4547      2.0489399    
     16700   4175           3754.1314     -26236.926      2137.3574     -24099.569     -40391.519      3115.9427      2.0492766    
     16800   4200           4103.4554     -26466.25       2336.2396     -24130.01      -36728.531      3115.3627      2.0496581    
     16900   4225           3909.0864     -26385.869      2225.5786     -24160.291     -42994.647      3114.7302      2.0500743    
     17000   4250           3615.6928     -26242.071      2058.5394     -24183.532     -27937.356      3114.0444      2.0505258    
     17100   4275           4191.8186     -26585.571      2386.5479     -24199.023     -49578.162      3113.3086      2.0510105    
     17200   4300           3687.4816     -26311.245      2099.4113     -24211.833     -7535.1107      3112.5321      2.0515221    
     17300   4325           3616.943      -26274.635      2059.2512     -24215.384     -29400.288      3111.7023      2.0520692    
     17400   4350           3899.4747     -26417.321      2220.1064     -24197.214     -56327.894      3110.8179      2.0526526    
     17500   4375           3898.0151     -26372.004      2219.2753     -24152.729     -27716.489      3109.8683      2.0532794    
     17600   4400           3838.7681     -26269.454      2185.544      -24083.91      -20682.322      3108.8737      2.0539362    
     17700   4425           4433.5746     -26519.172      2524.1879     -23994.984     -18098.097      3107.8416      2.0546184    
     17800   4450           3847.4284     -26096.384      2190.4746     -23905.91      -34861.297      3106.7859      2.0553165    
     17900   4475           4068.6097     -26154.7        2316.4008     -23838.3        5983.9399      3105.696       2.0560378    
     18000   4500           4409.7842     -26292.646      2510.6432     -23782.003     -14890.879      3104.5934      2.056768     
